Function,Method,h,Approximate,Exact,Absolute Error
e^x,Forward,0.1,2.85884,2.71828,0.14056
e^x,Forward,0.01,2.73192,2.71828,0.0136368
e^x,Forward,0.001,2.71964,2.71828,0.00135959
e^x,Forward,0.0001,2.71842,2.71828,0.000135919
e^x,Forward,1e-005,2.7183,2.71828,1.35915e-005
e^x,Forward,1e-006,2.71828,2.71828,1.35883e-006
e^x,Backward,0.1,2.58679,2.71828,0.131495
e^x,Backward,0.01,2.70474,2.71828,0.0135462
e^x,Backward,0.001,2.71692,2.71828,0.00135869
e^x,Backward,0.0001,2.71815,2.71828,0.00013591
e^x,Backward,1e-005,2.71827,2.71828,1.35914e-005
e^x,Backward,1e-006,2.71828,2.71828,1.35921e-006
e^x,Central,0.1,2.72281,2.71828,0.00453274
e^x,Central,0.01,2.71833,2.71828,4.53049e-005
e^x,Central,0.001,2.71828,2.71828,4.53047e-007
e^x,Central,0.0001,2.71828,2.71828,4.53053e-009
e^x,Central,1e-005,2.71828,2.71828,5.35021e-011
e^x,Central,1e-006,2.71828,2.71828,1.17704e-010
sin(x),Forward,0.1,0.497364,0.540302,0.0429386
sin(x),Forward,0.01,0.536086,0.540302,0.00421632
sin(x),Forward,0.001,0.539881,0.540302,0.000420826
sin(x),Forward,0.0001,0.54026,0.540302,4.20744e-005
sin(x),Forward,1e-005,0.540298,0.540302,4.20736e-006
sin(x),Forward,1e-006,0.540302,0.540302,4.20747e-007
sin(x),Backward,0.1,0.581441,0.540302,0.0411384
sin(x),Backward,0.01,0.544501,0.540302,0.00419831
sin(x),Backward,0.001,0.540723,0.540302,0.000420645
sin(x),Backward,0.0001,0.540344,0.540302,4.20726e-005
sin(x),Backward,1e-005,0.540307,0.540302,4.20734e-006
sin(x),Backward,1e-006,0.540303,0.540302,4.20802e-007
sin(x),Central,0.1,0.539402,0.540302,0.000900054
sin(x),Central,0.01,0.540293,0.540302,9.00499e-006
sin(x),Central,0.001,0.540302,0.540302,9.00505e-008
sin(x),Central,0.0001,0.540302,0.540302,9.0043e-010
sin(x),Central,1e-005,0.540302,0.540302,1.11409e-011
sin(x),Central,1e-006,0.540302,0.540302,2.77169e-011
x^3 - 2x + 1,Forward,0.1,1.31,1,0.31
x^3 - 2x + 1,Forward,0.01,1.0301,1,0.0301
x^3 - 2x + 1,Forward,0.001,1.003,1,0.003001
x^3 - 2x + 1,Forward,0.0001,1.0003,1,0.00030001
x^3 - 2x + 1,Forward,1e-005,1.00003,1,3.00001e-005
x^3 - 2x + 1,Forward,1e-006,1,1,2.99992e-006
x^3 - 2x + 1,Backward,0.1,0.71,1,0.29
x^3 - 2x + 1,Backward,0.01,0.9701,1,0.0299
x^3 - 2x + 1,Backward,0.001,0.997001,1,0.002999
x^3 - 2x + 1,Backward,0.0001,0.9997,1,0.00029999
x^3 - 2x + 1,Backward,1e-005,0.99997,1,2.99999e-005
x^3 - 2x + 1,Backward,1e-006,0.999997,1,2.99997e-006
x^3 - 2x + 1,Central,0.1,1.01,1,0.01
x^3 - 2x + 1,Central,0.01,1.0001,1,0.0001
x^3 - 2x + 1,Central,0.001,1,1,1e-006
x^3 - 2x + 1,Central,0.0001,1,1,9.99989e-009
x^3 - 2x + 1,Central,1e-005,1,1,1.01001e-010
x^3 - 2x + 1,Central,1e-006,1,1,2.57797e-011
